"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - 10 years maturity, denominated in Euro - Germany (IRS.M.DE.L.L40.CI.0000.EUR.N.Z) - Modified value (Quarterly)"
"1990-03-31","1990Q1","8.24"
"1990-06-30","1990Q2","8.75"
"1990-09-30","1990Q3","8.86"
"1990-12-31","1990Q4","8.96"
"1991-03-31","1991Q1","8.59"
"1991-06-30","1991Q2","8.39"
"1991-09-30","1991Q3","8.54"
"1991-12-31","1991Q4","8.31"
"1992-03-31","1992Q1","7.97"
"1992-06-30","1992Q2","8.06"
"1992-09-30","1992Q3","7.97"
"1992-12-31","1992Q4","7.39"
"1993-03-31","1993Q1","6.92"
"1993-06-30","1993Q2","6.77"
"1993-09-30","1993Q3","6.41"
"1993-12-31","1993Q4","5.94"
"1994-03-31","1994Q1","6.07"
"1994-06-30","1994Q2","6.73"
"1994-09-30","1994Q3","7.17"
"1994-12-31","1994Q4","7.50"
"1995-03-31","1995Q1","7.43"
"1995-06-30","1995Q2","6.91"
"1995-09-30","1995Q3","6.73"
"1995-12-31","1995Q4","6.33"
"1996-03-31","1996Q1","6.18"
"1996-06-30","1996Q2","6.46"
"1996-09-30","1996Q3","6.34"
"1996-12-31","1996Q4","5.89"
"1997-03-31","1997Q1","5.69"
"1997-06-30","1997Q2","5.78"
"1997-09-30","1997Q3","5.60"
"1997-12-31","1997Q4","5.49"
"1998-03-31","1998Q1","5.00"
"1998-06-30","1998Q2","4.89"
"1998-09-30","1998Q3","4.39"
"1998-12-31","1998Q4","4.01"
"1999-03-31","1999Q1","3.86"
"1999-06-30","1999Q2","4.07"
"1999-09-30","1999Q3","4.87"
"1999-12-31","1999Q4","5.16"
"2000-03-31","2000Q1","5.46"
"2000-06-30","2000Q2","5.26"
"2000-09-30","2000Q3","5.25"
"2000-12-31","2000Q4","5.08"
"2001-03-31","2001Q1","4.75"
"2001-06-30","2001Q2","4.96"
"2001-09-30","2001Q3","4.88"
"2001-12-31","2001Q4","4.60"
"2002-03-31","2002Q1","4.98"
"2002-06-30","2002Q2","5.11"
"2002-09-30","2002Q3","4.61"
"2002-12-31","2002Q4","4.42"
"2003-03-31","2003Q1","4.04"
"2003-06-30","2003Q2","3.86"
"2003-09-30","2003Q3","4.09"
"2003-12-31","2003Q4","4.29"
"2004-03-31","2004Q1","4.06"
"2004-06-30","2004Q2","4.22"
"2004-09-30","2004Q3","4.11"
"2004-12-31","2004Q4","3.75"
"2005-03-31","2005Q1","3.60"
"2005-06-30","2005Q2","3.30"
"2005-09-30","2005Q3","3.17"
"2005-12-31","2005Q4","3.34"
"2006-03-31","2006Q1","3.48"
"2006-06-30","2006Q2","3.94"
"2006-09-30","2006Q3","3.88"
"2006-12-31","2006Q4","3.76"
"2007-03-31","2007Q1","4.00"
"2007-06-30","2007Q2","4.33"
"2007-09-30","2007Q3","4.34"
"2007-12-31","2007Q4","4.19"
"2008-03-31","2008Q1","3.93"
"2008-06-30","2008Q2","4.25"
"2008-09-30","2008Q3","4.26"
"2008-12-31","2008Q4","3.50"
"2009-03-31","2009Q1","3.07"
"2009-06-30","2009Q2","3.32"
"2009-09-30","2009Q3","3.30"
"2009-12-31","2009Q4","3.19"
"2010-03-31","2010Q1","3.18"
"2010-06-30","2010Q2","2.78"
"2010-09-30","2010Q3","2.42"
"2010-12-31","2010Q4","2.60"
"2011-03-31","2011Q1","3.14"
"2011-06-30","2011Q2","3.10"
"2011-09-30","2011Q3","2.26"
"2011-12-31","2011Q4","1.93"
"2012-03-31","2012Q1","1.83"
"2012-06-30","2012Q2","1.42"
"2012-09-30","2012Q3","1.36"
"2012-12-31","2012Q4","1.37"
"2013-03-31","2013Q1","1.47"
"2013-06-30","2013Q2","1.34"
"2013-09-30","2013Q3","1.73"
"2013-12-31","2013Q4","1.75"
"2014-03-31","2014Q1","1.61"
"2014-06-30","2014Q2","1.35"
"2014-09-30","2014Q3","0.99"
"2014-12-31","2014Q4","0.70"
"2015-03-31","2015Q1","0.31"
"2015-06-30","2015Q2","0.49"
"2015-09-30","2015Q3","0.66"
"2015-12-31","2015Q4","0.53"
"2016-03-31","2016Q1","0.26"
"2016-06-30","2016Q2","0.08"
"2016-09-30","2016Q3","-0.12"
"2016-12-31","2016Q4","0.15"
"2017-03-31","2017Q1","0.29"
"2017-06-30","2017Q2","0.27"
"2017-09-30","2017Q3","0.39"
"2017-12-31","2017Q4","0.33"
"2018-03-31","2018Q1","0.55"
"2018-06-30","2018Q2","0.42"
"2018-09-30","2018Q3","0.31"
"2018-12-31","2018Q4","0.30"
"2019-03-31","2019Q1","0.07"
"2019-06-30","2019Q2","-0.16"
"2019-09-30","2019Q3","-0.54"
"2019-12-31","2019Q4","-0.37"
"2020-03-31","2020Q1","-0.44"
"2020-06-30","2020Q2","-0.47"
"2020-09-30","2020Q3","-0.52"
"2020-12-31","2020Q4","-0.61"
"2021-03-31","2021Q1","-0.46"
"2021-06-30","2021Q2","-0.28"
"2021-09-30","2021Q3","-0.45"
"2021-12-31","2021Q4","-0.30"
"2022-03-31","2022Q1","0.11"
"2022-06-30","2022Q2","1.05"
"2022-09-30","2022Q3","1.30"
"2022-12-31","2022Q4","2.11"
"2023-03-31","2023Q1","2.32"
"2023-06-30","2023Q2","2.36"
"2023-09-30","2023Q3","2.55"
"2023-12-31","2023Q4","2.51"
"2024-03-31","2024Q1","2.28"
"2024-06-30","2024Q2","2.48"
"2024-09-30","2024Q3","2.28"
"2024-12-31","2024Q4","2.24"
"2025-03-31","2025Q1","2.54"
"2025-05-31","2025Q2","2.54"
