"DATE","TIME PERIOD","Gross domestic product at market prices (MNA.Q.Y.DE.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N)"
"1991-03-31","1991Q1","63.86"
"1991-06-30","1991Q2","65.30"
"1991-09-30","1991Q3","65.58"
"1991-12-31","1991Q4","67.03"
"1992-03-31","1992Q1","67.70"
"1992-06-30","1992Q2","68.69"
"1992-09-30","1992Q3","69.31"
"1992-12-31","1992Q4","69.99"
"1993-03-31","1993Q1","70.68"
"1993-06-30","1993Q2","71.64"
"1993-09-30","1993Q3","71.65"
"1993-12-31","1993Q4","72.15"
"1994-03-31","1994Q1","72.58"
"1994-06-30","1994Q2","72.76"
"1994-09-30","1994Q3","72.98"
"1994-12-31","1994Q4","73.37"
"1995-03-31","1995Q1","73.71"
"1995-06-30","1995Q2","74.16"
"1995-09-30","1995Q3","74.53"
"1995-12-31","1995Q4","74.62"
"1996-03-31","1996Q1","74.62"
"1996-06-30","1996Q2","74.46"
"1996-09-30","1996Q3","74.60"
"1996-12-31","1996Q4","74.75"
"1997-03-31","1997Q1","74.58"
"1997-06-30","1997Q2","74.44"
"1997-09-30","1997Q3","74.85"
"1997-12-31","1997Q4","74.97"
"1998-03-31","1998Q1","74.85"
"1998-06-30","1998Q2","75.19"
"1998-09-30","1998Q3","75.29"
"1998-12-31","1998Q4","75.56"
"1999-03-31","1999Q1","75.63"
"1999-06-30","1999Q2","75.83"
"1999-09-30","1999Q3","75.62"
"1999-12-31","1999Q4","75.55"
"2000-03-31","2000Q1","75.36"
"2000-06-30","2000Q2","75.27"
"2000-09-30","2000Q3","75.38"
"2000-12-31","2000Q4","75.58"
"2001-03-31","2001Q1","75.99"
"2001-06-30","2001Q2","76.17"
"2001-09-30","2001Q3","76.51"
"2001-12-31","2001Q4","77.25"
"2002-03-31","2002Q1","77.36"
"2002-06-30","2002Q2","77.31"
"2002-09-30","2002Q3","77.75"
"2002-12-31","2002Q4","78.08"
"2003-03-31","2003Q1","78.42"
"2003-06-30","2003Q2","78.48"
"2003-09-30","2003Q3","78.82"
"2003-12-31","2003Q4","78.89"
"2004-03-31","2004Q1","79.17"
"2004-06-30","2004Q2","79.60"
"2004-09-30","2004Q3","79.69"
"2004-12-31","2004Q4","79.76"
"2005-03-31","2005Q1","79.85"
"2005-06-30","2005Q2","79.89"
"2005-09-30","2005Q3","79.97"
"2005-12-31","2005Q4","80.23"
"2006-03-31","2006Q1","79.99"
"2006-06-30","2006Q2","80.23"
"2006-09-30","2006Q3","80.38"
"2006-12-31","2006Q4","80.74"
"2007-03-31","2007Q1","81.51"
"2007-06-30","2007Q2","81.66"
"2007-09-30","2007Q3","81.95"
"2007-12-31","2007Q4","82.15"
"2008-03-31","2008Q1","82.34"
"2008-06-30","2008Q2","82.42"
"2008-09-30","2008Q3","82.66"
"2008-12-31","2008Q4","82.97"
"2009-03-31","2009Q1","83.81"
"2009-06-30","2009Q2","84.00"
"2009-09-30","2009Q3","84.36"
"2009-12-31","2009Q4","84.78"
"2010-03-31","2010Q1","84.67"
"2010-06-30","2010Q2","84.32"
"2010-09-30","2010Q3","84.96"
"2010-12-31","2010Q4","85.30"
"2011-03-31","2011Q1","85.38"
"2011-06-30","2011Q2","85.61"
"2011-09-30","2011Q3","86.04"
"2011-12-31","2011Q4","86.41"
"2012-03-31","2012Q1","86.53"
"2012-06-30","2012Q2","86.77"
"2012-09-30","2012Q3","87.37"
"2012-12-31","2012Q4","87.71"
"2013-03-31","2013Q1","88.44"
"2013-06-30","2013Q2","88.55"
"2013-09-30","2013Q3","88.98"
"2013-12-31","2013Q4","89.34"
"2014-03-31","2014Q1","89.98"
"2014-06-30","2014Q2","90.46"
"2014-09-30","2014Q3","90.62"
"2014-12-31","2014Q4","91.00"
"2015-03-31","2015Q1","91.44"
"2015-06-30","2015Q2","91.99"
"2015-09-30","2015Q3","92.26"
"2015-12-31","2015Q4","92.45"
"2016-03-31","2016Q1","92.79"
"2016-06-30","2016Q2","93.11"
"2016-09-30","2016Q3","93.29"
"2016-12-31","2016Q4","93.62"
"2017-03-31","2017Q1","93.91"
"2017-06-30","2017Q2","94.35"
"2017-09-30","2017Q3","94.87"
"2017-12-31","2017Q4","95.15"
"2018-03-31","2018Q1","95.53"
"2018-06-30","2018Q2","95.91"
"2018-09-30","2018Q3","96.53"
"2018-12-31","2018Q4","97.38"
"2019-03-31","2019Q1","97.51"
"2019-06-30","2019Q2","97.89"
"2019-09-30","2019Q3","98.50"
"2019-12-31","2019Q4","99.19"
"2020-03-31","2020Q1","99.94"
"2020-06-30","2020Q2","100.68"
"2020-09-30","2020Q3","99.36"
"2020-12-31","2020Q4","100.09"
"2021-03-31","2021Q1","101.48"
"2021-06-30","2021Q2","101.33"
"2021-09-30","2021Q3","103.60"
"2021-12-31","2021Q4","104.76"
"2022-03-31","2022Q1","106.55"
"2022-06-30","2022Q2","108.40"
"2022-09-30","2022Q3","109.37"
"2022-12-31","2022Q4","111.97"
"2023-03-31","2023Q1","113.76"
"2023-06-30","2023Q2","115.20"
"2023-09-30","2023Q3","116.22"
"2023-12-31","2023Q4","117.92"
"2024-03-31","2024Q1","118.12"
"2024-06-30","2024Q2","119.09"
"2024-09-30","2024Q3","119.44"
"2024-12-31","2024Q4","120.78"
"2025-03-31","2025Q1","121.26"
