"DATE","TIME PERIOD","Gross domestic product at market prices (MNA.Q.Y.DE.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N)"
"1991-03-31","1991Q1","371913.32"
"1991-06-30","1991Q2","377044.41"
"1991-09-30","1991Q3","379103.72"
"1991-12-31","1991Q4","394856.33"
"1992-03-31","1992Q1","404388.58"
"1992-06-30","1992Q2","406124.13"
"1992-09-30","1992Q3","413521.82"
"1992-12-31","1992Q4","429982.17"
"1993-03-31","1993Q1","434394.74"
"1993-06-30","1993Q2","439038.76"
"1993-09-30","1993Q3","447373.82"
"1993-12-31","1993Q4","452182.77"
"1994-03-31","1994Q1","456839.74"
"1994-06-30","1994Q2","462231.23"
"1994-09-30","1994Q3","469956.20"
"1994-12-31","1994Q4","478268.48"
"1995-03-31","1995Q1","487020.27"
"1995-06-30","1995Q2","499663.32"
"1995-09-30","1995Q3","497802.43"
"1995-12-31","1995Q4","499677.85"
"1996-03-31","1996Q1","492213.49"
"1996-06-30","1996Q2","492903.28"
"1996-09-30","1996Q3","495893.39"
"1996-12-31","1996Q4","495477.28"
"1997-03-31","1997Q1","486987.80"
"1997-06-30","1997Q2","489261.67"
"1997-09-30","1997Q3","490185.07"
"1997-12-31","1997Q4","495047.90"
"1998-03-31","1998Q1","497836.48"
"1998-06-30","1998Q2","498652.16"
"1998-09-30","1998Q3","502893.58"
"1998-12-31","1998Q4","507555.39"
"1999-03-31","1999Q1","514467.00"
"1999-06-30","1999Q2","515126.00"
"1999-09-30","1999Q3","520612.00"
"1999-12-31","1999Q4","522633.00"
"2000-03-31","2000Q1","529558.00"
"2000-06-30","2000Q2","533011.00"
"2000-09-30","2000Q3","534078.00"
"2000-12-31","2000Q4","533238.00"
"2001-03-31","2001Q1","547664.00"
"2001-06-30","2001Q2","547434.00"
"2001-09-30","2001Q3","549774.00"
"2001-12-31","2001Q4","553461.00"
"2002-03-31","2002Q1","551875.00"
"2002-06-30","2002Q2","553448.00"
"2002-09-30","2002Q3","560407.00"
"2002-12-31","2002Q4","561316.00"
"2003-03-31","2003Q1","556214.00"
"2003-06-30","2003Q2","557322.00"
"2003-09-30","2003Q3","564773.00"
"2003-12-31","2003Q4","566012.00"
"2004-03-31","2004Q1","567314.00"
"2004-06-30","2004Q2","573574.00"
"2004-09-30","2004Q3","572428.00"
"2004-12-31","2004Q4","572646.00"
"2005-03-31","2005Q1","574332.00"
"2005-06-30","2005Q2","577809.00"
"2005-09-30","2005Q3","583094.00"
"2005-12-31","2005Q4","587251.00"
"2006-03-31","2006Q1","592026.00"
"2006-06-30","2006Q2","603870.00"
"2006-09-30","2006Q3","609737.00"
"2006-12-31","2006Q4","621405.00"
"2007-03-31","2007Q1","628126.00"
"2007-06-30","2007Q2","633420.00"
"2007-09-30","2007Q3","638905.00"
"2007-12-31","2007Q4","645175.00"
"2008-03-31","2008Q1","650584.00"
"2008-06-30","2008Q2","648911.00"
"2008-09-30","2008Q3","647237.00"
"2008-12-31","2008Q4","639642.00"
"2009-03-31","2009Q1","615774.00"
"2009-06-30","2009Q2","618792.00"
"2009-09-30","2009Q3","625185.00"
"2009-12-31","2009Q4","633169.00"
"2010-03-31","2010Q1","636889.00"
"2010-06-30","2010Q2","648116.00"
"2010-09-30","2010Q3","659322.00"
"2010-12-31","2010Q4","666286.00"
"2011-03-31","2011Q1","678984.00"
"2011-06-30","2011Q2","682605.00"
"2011-09-30","2011Q3","689743.00"
"2011-12-31","2011Q4","692716.00"
"2012-03-31","2012Q1","695160.00"
"2012-06-30","2012Q2","697813.00"
"2012-09-30","2012Q3","704128.00"
"2012-12-31","2012Q4","704529.00"
"2013-03-31","2013Q1","706429.00"
"2013-06-30","2013Q2","715914.00"
"2013-09-30","2013Q3","722976.00"
"2013-12-31","2013Q4","726713.00"
"2014-03-31","2014Q1","739579.00"
"2014-06-30","2014Q2","743732.00"
"2014-09-30","2014Q3","748941.00"
"2014-12-31","2014Q4","757584.00"
"2015-03-31","2015Q1","759537.00"
"2015-06-30","2015Q2","768808.00"
"2015-09-30","2015Q3","774686.00"
"2015-12-31","2015Q4","779866.00"
"2016-03-31","2016Q1","790245.00"
"2016-06-30","2016Q2","795551.00"
"2016-09-30","2016Q3","799546.00"
"2016-12-31","2016Q4","805544.00"
"2017-03-31","2017Q1","817727.00"
"2017-06-30","2017Q2","828769.00"
"2017-09-30","2017Q3","839104.00"
"2017-12-31","2017Q4","849672.00"
"2018-03-31","2018Q1","848873.00"
"2018-06-30","2018Q2","858518.00"
"2018-09-30","2018Q3","857751.00"
"2018-12-31","2018Q4","870762.00"
"2019-03-31","2019Q1","876831.00"
"2019-06-30","2019Q2","880886.00"
"2019-09-30","2019Q3","888719.00"
"2019-12-31","2019Q4","894560.00"
"2020-03-31","2020Q1","881485.00"
"2020-06-30","2020Q2","809073.00"
"2020-09-30","2020Q3","867876.00"
"2020-12-31","2020Q4","884210.00"
"2021-03-31","2021Q1","886534.00"
"2021-06-30","2021Q2","907732.00"
"2021-09-30","2021Q3","928453.00"
"2021-12-31","2021Q4","944587.00"
"2022-03-31","2022Q1","962521.00"
"2022-06-30","2022Q2","979029.00"
"2022-09-30","2022Q3","993638.00"
"2022-12-31","2022Q4","1012073.00"
"2023-03-31","2023Q1","1029719.00"
"2023-06-30","2023Q2","1041192.00"
"2023-09-30","2023Q3","1052400.00"
"2023-12-31","2023Q4","1063813.00"
"2024-03-31","2024Q1","1068124.00"
"2024-06-30","2024Q2","1073781.00"
"2024-09-30","2024Q3","1078033.00"
"2024-12-31","2024Q4","1087972.00"
"2025-03-31","2025Q1","1096785.00"
