"DATE","TIME PERIOD","Government total revenue (seasonally adjusted) (GFS.Q.Y.DE.W0.S13.S1.P.C.OTR._Z._Z._Z.XDC._Z.S.V.N._T)"
"1999-03-31","1999Q1"
"1999-06-30","1999Q2"
"1999-09-30","1999Q3"
"1999-12-31","1999Q4"
"2000-03-31","2000Q1"
"2000-06-30","2000Q2"
"2000-09-30","2000Q3"
"2000-12-31","2000Q4"
"2001-03-31","2001Q1"
"2001-06-30","2001Q2"
"2001-09-30","2001Q3"
"2001-12-31","2001Q4"
"2002-03-31","2002Q1","240643"
"2002-06-30","2002Q2","244036"
"2002-09-30","2002Q3","248403"
"2002-12-31","2002Q4","248706"
"2003-03-31","2003Q1","247516"
"2003-06-30","2003Q2","248567"
"2003-09-30","2003Q3","249217"
"2003-12-31","2003Q4","255988"
"2004-03-31","2004Q1","248126"
"2004-06-30","2004Q2","245774"
"2004-09-30","2004Q3","248829"
"2004-12-31","2004Q4","255906"
"2005-03-31","2005Q1","253554"
"2005-06-30","2005Q2","249013"
"2005-09-30","2005Q3","253962"
"2005-12-31","2005Q4","255069"
"2006-03-31","2006Q1","262268"
"2006-06-30","2006Q2","261340"
"2006-09-30","2006Q3","265266"
"2006-12-31","2006Q4","267816"
"2007-03-31","2007Q1","277383"
"2007-06-30","2007Q2","276284"
"2007-09-30","2007Q3","277113"
"2007-12-31","2007Q4","280035"
"2008-03-31","2008Q1","285687"
"2008-06-30","2008Q2","285926"
"2008-09-30","2008Q3","285541"
"2008-12-31","2008Q4","286317"
"2009-03-31","2009Q1","288164"
"2009-06-30","2009Q2","280902"
"2009-09-30","2009Q3","277746"
"2009-12-31","2009Q4","278800"
"2010-03-31","2010Q1","277781"
"2010-06-30","2010Q2","286319"
"2010-09-30","2010Q3","285620"
"2010-12-31","2010Q4","293367"
"2011-03-31","2011Q1","301460"
"2011-06-30","2011Q2","306504"
"2011-09-30","2011Q3","305356"
"2011-12-31","2011Q4","307668"
"2012-03-31","2012Q1","311086"
"2012-06-30","2012Q2","314764"
"2012-09-30","2012Q3","319982"
"2012-12-31","2012Q4","315155"
"2013-03-31","2013Q1","316927"
"2013-06-30","2013Q2","328121"
"2013-09-30","2013Q3","326988"
"2013-12-31","2013Q4","326077"
"2014-03-31","2014Q1","332254"
"2014-06-30","2014Q2","335225"
"2014-09-30","2014Q3","338651"
"2014-12-31","2014Q4","344033"
"2015-03-31","2015Q1","345764"
"2015-06-30","2015Q2","348342"
"2015-09-30","2015Q3","353258"
"2015-12-31","2015Q4","354168"
"2016-03-31","2016Q1","361059"
"2016-06-30","2016Q2","363932"
"2016-09-30","2016Q3","367410"
"2016-12-31","2016Q4","373092"
"2017-03-31","2017Q1","379382"
"2017-06-30","2017Q2","379534"
"2017-09-30","2017Q3","383492"
"2017-12-31","2017Q4","386715"
"2018-03-31","2018Q1","394702"
"2018-06-30","2018Q2","402211"
"2018-09-30","2018Q3","400672"
"2018-12-31","2018Q4","400411"
"2019-03-31","2019Q1","408613"
"2019-06-30","2019Q2","417742"
"2019-09-30","2019Q3","415910"
"2019-12-31","2019Q4","415300"
"2020-03-31","2020Q1","421215"
"2020-06-30","2020Q2","386137"
"2020-09-30","2020Q3","396971"
"2020-12-31","2020Q4","408330"
"2021-03-31","2021Q1","422378"
"2021-06-30","2021Q2","421018"
"2021-09-30","2021Q3","443612"
"2021-12-31","2021Q4","460858"
"2022-03-31","2022Q1","458834"
"2022-06-30","2022Q2","458979"
"2022-09-30","2022Q3","464078"
"2022-12-31","2022Q4","470700"
"2023-03-31","2023Q1","471486"
"2023-06-30","2023Q2","475304"
"2023-09-30","2023Q3","485972"
"2023-12-31","2023Q4","488409"
"2024-03-31","2024Q1","490407"
"2024-06-30","2024Q2","501090"
"2024-09-30","2024Q3","508784"
"2024-12-31","2024Q4","512569"
